DBCA,DCBA,CDBA
CBDA,BCDA,BDCA
CBAD,BCAD
CDAB,DCAB
CADB
CABD
CDA,DCA
CAD
DBAC
BDAC
BADC,BACD
DABC,DACB
ADCB,ADBC,ACDB
ABDC,ACBD,ABCD
DAC
ACD,ADC
